Name,Library,Family,Time
M4_5x5_C1-DD,AMaze,AMaze-D,0.0092910102
M4_5x5_C1_l0.1_L.25-DD,AMaze,AMaze-D,0.0093158368
M4_5x5_C1_l0.5_L.25-DD,AMaze,AMaze-D,0.0092808558
M4_5x5_C1_l1_L.25-DD,AMaze,AMaze-D,0.0090754573
M4_10x10_C1-DD,AMaze,AMaze-D,0.009367238
M4_10x10_C1_l0.1_L.25-DD,AMaze,AMaze-D,0.0093747612
M4_10x10_C1_l0.5_L.25-DD,AMaze,AMaze-D,0.0093049335
M4_10x10_C1_l1_L.25-DD,AMaze,AMaze-D,0.0090550234
M4_20x20_C1-DD,AMaze,AMaze-D,0.0103980289
M4_20x20_C1_l0.1_L.25-DD,AMaze,AMaze-D,0.0105131606
M4_20x20_C1_l0.5_L.25-DD,AMaze,AMaze-D,0.0104830326
M4_20x20_C1_l1_L.25-DD,AMaze,AMaze-D,0.0104138286
M4_50x50_C1-DD,AMaze,AMaze-D,0.0192960849
M4_50x50_C1_l0.1_L.25-DD,AMaze,AMaze-D,0.0194584511
M4_50x50_C1_l0.5_L.25-DD,AMaze,AMaze-D,0.0195613304
M4_50x50_C1_l1_L.25-DD,AMaze,AMaze-D,0.0194680763
M4_5x5_C1-CD11,AMaze,AMaze-H,0.0235217608
M4_5x5_C1_l0.1_L.25-CD11,AMaze,AMaze-H,0.0271619237
M4_5x5_C1_l0.5_L.25-CD11,AMaze,AMaze-H,0.0270866883
M4_5x5_C1_l1_L.25-CD11,AMaze,AMaze-H,0.0271254858
M4_10x10_C1-CD11,AMaze,AMaze-H,0.0207267622
M4_10x10_C1_l0.1_L.25-CD11,AMaze,AMaze-H,0.0226115339
M4_10x10_C1_l0.5_L.25-CD11,AMaze,AMaze-H,0.0227229887
M4_10x10_C1_l1_L.25-CD11,AMaze,AMaze-H,0.0221694932
M4_20x20_C1-CD11,AMaze,AMaze-H,0.0207319983
M4_20x20_C1_l0.1_L.25-CD11,AMaze,AMaze-H,0.0219919334
M4_20x20_C1_l0.5_L.25-CD11,AMaze,AMaze-H,0.022282961
M4_20x20_C1_l1_L.25-CD11,AMaze,AMaze-H,0.0214683944
M4_50x50_C1-CD11,AMaze,AMaze-H,0.0292196376
M4_50x50_C1_l0.1_L.25-CD11,AMaze,AMaze-H,0.0331423871
M4_50x50_C1_l0.5_L.25-CD11,AMaze,AMaze-H,0.0306575295
M4_50x50_C1_l1_L.25-CD11,AMaze,AMaze-H,0.0300448149
M4_5x5_C1-CD15,AMaze,AMaze-H,0.0242108749
M4_5x5_C1_l0.1_L.25-CD15,AMaze,AMaze-H,0.0287468137
M4_5x5_C1_l0.5_L.25-CD15,AMaze,AMaze-H,0.0292223309
M4_5x5_C1_l1_L.25-CD15,AMaze,AMaze-H,0.0291417842
M4_10x10_C1-CD15,AMaze,AMaze-H,0.021214751
M4_10x10_C1_l0.1_L.25-CD15,AMaze,AMaze-H,0.0234273925
M4_10x10_C1_l0.5_L.25-CD15,AMaze,AMaze-H,0.0236604063
M4_10x10_C1_l1_L.25-CD15,AMaze,AMaze-H,0.0229263251
M4_20x20_C1-CD15,AMaze,AMaze-H,0.0211601341
M4_20x20_C1_l0.1_L.25-CD15,AMaze,AMaze-H,0.0225795569
M4_20x20_C1_l0.5_L.25-CD15,AMaze,AMaze-H,0.0228726221
M4_20x20_C1_l1_L.25-CD15,AMaze,AMaze-H,0.0224164885
M4_50x50_C1-CD15,AMaze,AMaze-H,0.0293947173
M4_50x50_C1_l0.1_L.25-CD15,AMaze,AMaze-H,0.0301501066
M4_50x50_C1_l0.5_L.25-CD15,AMaze,AMaze-H,0.0308835895
M4_50x50_C1_l1_L.25-CD15,AMaze,AMaze-H,0.0303415268
M4_5x5_C1-CD21,AMaze,AMaze-H,0.0257056372
M4_5x5_C1_l0.1_L.25-CD21,AMaze,AMaze-H,0.0322210117
M4_5x5_C1_l0.5_L.25-CD21,AMaze,AMaze-H,0.032560934
M4_5x5_C1_l1_L.25-CD21,AMaze,AMaze-H,0.0319575919
M4_10x10_C1-CD21,AMaze,AMaze-H,0.021971934
M4_10x10_C1_l0.1_L.25-CD21,AMaze,AMaze-H,0.0248331917
M4_10x10_C1_l0.5_L.25-CD21,AMaze,AMaze-H,0.0250381949
M4_10x10_C1_l1_L.25-CD21,AMaze,AMaze-H,0.024624346
M4_20x20_C1-CD21,AMaze,AMaze-H,0.0215646899
M4_20x20_C1_l0.1_L.25-CD21,AMaze,AMaze-H,0.0232181007
M4_20x20_C1_l0.5_L.25-CD21,AMaze,AMaze-H,0.0232913808
M4_20x20_C1_l1_L.25-CD21,AMaze,AMaze-H,0.0228237883
M4_50x50_C1-CD21,AMaze,AMaze-H,0.0296304544
M4_50x50_C1_l0.1_L.25-CD21,AMaze,AMaze-H,0.033638229
M4_50x50_C1_l0.5_L.25-CD21,AMaze,AMaze-H,0.031190689
M4_50x50_C1_l1_L.25-CD21,AMaze,AMaze-H,0.0307089515
M4_5x5_C1-CD37,AMaze,AMaze-H,0.0324105633
M4_5x5_C1_l0.1_L.25-CD37,AMaze,AMaze-H,0.0450028967
M4_5x5_C1_l0.5_L.25-CD37,AMaze,AMaze-H,0.0454542237
M4_5x5_C1_l1_L.25-CD37,AMaze,AMaze-H,0.045068972
M4_10x10_C1-CD37,AMaze,AMaze-H,0.0252865731
M4_10x10_C1_l0.1_L.25-CD37,AMaze,AMaze-H,0.0305900175
M4_10x10_C1_l0.5_L.25-CD37,AMaze,AMaze-H,0.0308698184
M4_10x10_C1_l1_L.25-CD37,AMaze,AMaze-H,0.0320917136
M4_20x20_C1-CD37,AMaze,AMaze-H,0.0227080653
M4_20x20_C1_l0.1_L.25-CD37,AMaze,AMaze-H,0.025624271
M4_20x20_C1_l0.5_L.25-CD37,AMaze,AMaze-H,0.0258463978
M4_20x20_C1_l1_L.25-CD37,AMaze,AMaze-H,0.0256465823
M4_50x50_C1-CD37,AMaze,AMaze-H,0.030243379
M4_50x50_C1_l0.1_L.25-CD37,AMaze,AMaze-H,0.032146102
M4_50x50_C1_l0.5_L.25-CD37,AMaze,AMaze-H,0.0335508469
M4_50x50_C1_l1_L.25-CD37,AMaze,AMaze-H,0.032714497
M4_5x5_C1-CC11,AMaze,AMaze-C,0.0925856237
M4_5x5_C1_l0.1_L.25-CC11,AMaze,AMaze-C,0.0975074651
M4_5x5_C1_l0.5_L.25-CC11,AMaze,AMaze-C,0.094202809
M4_5x5_C1_l1_L.25-CC11,AMaze,AMaze-C,0.094055012
M4_10x10_C1-CC11,AMaze,AMaze-C,0.1108273599
M4_10x10_C1_l0.1_L.25-CC11,AMaze,AMaze-C,0.1016854716
M4_10x10_C1_l0.5_L.25-CC11,AMaze,AMaze-C,0.1025297086
M4_10x10_C1_l1_L.25-CC11,AMaze,AMaze-C,0.1040582443
M4_20x20_C1-CC11,AMaze,AMaze-C,0.1156840002
M4_20x20_C1_l0.1_L.25-CC11,AMaze,AMaze-C,0.1080315924
M4_20x20_C1_l0.5_L.25-CC11,AMaze,AMaze-C,0.1026233467
M4_20x20_C1_l1_L.25-CC11,AMaze,AMaze-C,0.1071753023
M4_50x50_C1-CC11,AMaze,AMaze-C,0.122785412
M4_50x50_C1_l0.1_L.25-CC11,AMaze,AMaze-C,0.107479046
M4_50x50_C1_l0.5_L.25-CC11,AMaze,AMaze-C,0.1057203748
M4_50x50_C1_l1_L.25-CC11,AMaze,AMaze-C,0.1149709283
